COUNTY	PARCEL_NUM	DATE_UPDATED
Snohomish	31060800201300	8/10/24
Snohomish	31063000201700	8/10/24
Snohomish	31063000203400	8/10/24
Snohomish	32042700401600	8/10/24
Snohomish	32042800101700	8/10/24
Snohomish	32043000104100	8/10/24
Snohomish	32052300301000	8/10/24
Snohomish	32061700101400	8/10/24
Snohomish	32062100400400	8/10/24
Snohomish	32080200200500	8/10/24
Snohomish	32092400201700	8/10/24
Snohomish	32100800101800	8/10/24
King	0013001920	8/10/24
King	0013001930	8/10/24
King	0087000171	8/10/24
King	0123039331	8/10/24
King	0223059049	8/10/24
King	0521049153	8/10/24
King	1148000060	8/10/24
King	1321720170	8/10/24
King	1322049185	8/10/24
King	1424200005	8/10/24
King	1471700990	8/10/24
King	1726079003	8/10/24
King	1776230010	8/10/24
King	1822059281	8/10/24
King	1920079032	8/10/24
King	2210500019	8/10/24
King	2474100100	8/10/24
King	2525049268	8/10/24
King	2622079010	8/10/24
King	2660500296	8/10/24
King	2724049051	8/10/24
King	2726079021	8/10/24
King	2821079059	8/10/24
King	2887900090	8/10/24
King	2946001000	8/10/24
King	2976800740	8/10/24
King	3222079202	8/10/24
King	3281300031	8/10/24
King	3343901283	8/10/24
King	3345100185	8/10/24
King	3391500200	8/10/24
King	3422059175	8/10/24
King	3438500962	8/10/24
King	3589005350	8/10/24
King	3599600279	8/10/24
King	3621049073	8/10/24
King	3623500405	8/10/24
King	3670500665	8/10/24
King	4017110030	8/10/24
King	4045700650	8/10/24
King	4047900030	8/10/24
King	4299000240	8/10/24
King	4318200431	8/10/24
King	5095401650	8/10/24
King	5245400100	8/10/24
King	5379802310	8/10/24
King	5467900320	8/10/24
King	5515600150	8/10/24
King	5561001160	8/10/24
King	5680001115	8/10/24
King	6642500020	8/10/24
King	6667801450	8/10/24
King	6788201405	8/10/24
King	6788201825	8/10/24
King	6874200955	8/10/24
King	7212660820	8/10/24
King	7229900040	8/10/24
King	7272001595	8/10/24
King	7334800080	8/10/24
King	7334800180	8/10/24
King	7418700080	8/10/24
King	7548300605	8/10/24
King	7806000200	8/10/24
King	7813200005	8/10/24
King	7883606755	8/10/24
King	7937600120	8/10/24
King	8731780360	8/10/24
King	8827900140	8/10/24
King	9183702835	8/10/24
King	9275200090	8/10/24
King	9808100122	8/10/24
Pierce	0022142034	8/21/24
Pierce	0120332039	8/21/24
Pierce	0122291506	8/21/24
Pierce	0217022015	8/21/24
Pierce	0217022019	8/21/24
Pierce	0217142038	8/21/24
Pierce	0217153032	8/21/24
Pierce	0217363017	8/21/24
Pierce	0218341036	8/21/24
Pierce	0218342030	8/21/24
Pierce	0219114223	8/21/24
Pierce	0220152226	8/21/24
Pierce	0221064119	8/21/24
Pierce	0221176005	8/21/24
Pierce	0318361006	8/21/24
Pierce	0319227011	8/21/24
Pierce	0320132089	8/21/24
Pierce	0320132096	8/21/24
Pierce	0320323072	8/21/24
Pierce	0320338062	8/21/24
Pierce	0320342006	8/21/24
Pierce	0320345045	8/21/24
Pierce	0417353003	8/21/24
Pierce	0418027050	8/21/24
Pierce	0418138008	8/21/24
Pierce	0418332043	8/21/24
Pierce	0419056004	8/21/24
Pierce	0420033140	8/21/24
Pierce	0421316024	8/21/24
Pierce	0518198012	8/21/24
Pierce	0520051001	8/21/24
Pierce	0520217081	8/21/24
Pierce	2019130030	8/21/24
Pierce	2084060040	8/21/24
Pierce	2945000080	8/21/24
Pierce	2947001310	8/21/24
Pierce	3001070010	8/21/24
Pierce	3001070020	8/21/24
Pierce	3001130340	8/21/24
Pierce	3156001110	8/21/24
Pierce	3460000780	8/21/24
Pierce	3530000090	8/21/24
Pierce	3918001060	8/21/24
Pierce	3921010290	8/21/24
Pierce	4220000302	8/21/24
Pierce	4253000140	8/21/24
Pierce	4486040090	8/21/24
Pierce	4585001960	8/21/24
Pierce	4645200500	8/21/24
Pierce	4665300440	8/21/24
Pierce	4715016100	8/21/24
Pierce	4880000040	8/21/24
Pierce	4950200650	8/21/24
Pierce	5000910210	8/21/24
Pierce	5002110270	8/21/24
Pierce	5002450150	8/21/24
Pierce	5002520530	8/21/24
Pierce	5005003470	8/21/24
Pierce	5005005340	8/21/24
Pierce	5017100760	8/21/24
Pierce	5017820150	8/21/24
Pierce	5017900740	8/21/24
Pierce	5018020100	8/21/24
Pierce	5018020110	8/21/24
Pierce	5018060290	8/21/24
Pierce	5018140290	8/21/24
Pierce	5018140300	8/21/24
Pierce	5018180570	8/21/24
Pierce	5018181830	8/21/24
Pierce	5022000640	8/21/24
Pierce	5025000731	8/21/24
Pierce	5125200370	8/21/24
Pierce	5690000841	8/21/24
Pierce	5745000570	8/21/24
Pierce	5820000141	8/21/24
Pierce	6021290050	8/21/24
Pierce	6022180370	8/21/24
Pierce	6026454220	8/21/24
Pierce	6210000560	8/21/24
Pierce	6290000020	8/21/24
Pierce	6403000050	8/21/24
Pierce	6411550010	8/21/24
Pierce	6440003380	8/21/24
Pierce	6661200640	8/21/24
Pierce	6995102000	8/21/24
Pierce	7470020110	8/21/24
Pierce	7470022070	8/21/24
Pierce	7560011704	8/21/24
Pierce	7785001110	8/21/24
Pierce	7810000211	8/21/24
Pierce	7815000560	8/21/24
Pierce	7855901320	8/21/24
Pierce	7855901330	8/21/24
Pierce	7855902240	8/21/24
Pierce	7855902250	8/21/24
Pierce	7882001350	8/21/24
Pierce	7965000050	8/21/24
Pierce	8935025440	8/21/24
Pierce	8950003710	8/21/24
Pierce	9002100050	8/21/24
Pierce	9007410090	8/21/24
Pierce	9160000541	8/21/24
Pierce	9160000560	8/21/24
Pierce	9854000080	8/21/24
Pierce	9000181080	8/21/24
